query,date,rank
tested,2020-02-22,3630
tested,2020-02-23,4202
tested,2020-02-24,4729
tested,2020-02-25,2348
tested,2020-02-26,2519
tested,2020-02-27,975
tested,2020-02-28,1398
tested,2020-02-29,1258.5
tested,2020-03-01,935
tested,2020-03-02,897
tested,2020-03-03,790
tested,2020-03-04,1708
tested,2020-03-05,1248
tested,2020-03-06,955
tested,2020-03-07,917
tested,2020-03-08,891.5
tested,2020-03-09,616
tested,2020-03-10,738
tested,2020-03-11,387
tested,2020-03-12,148
tested,2020-03-13,181
tested,2020-03-14,204
tested,2020-03-15,257
tested,2020-03-16,268
tested,2020-03-17,304
tested,2020-03-18,360
tested,2020-03-19,348
tested,2020-03-20,447
tested,2020-03-21,464
tested,2020-03-22,302
tested,2020-03-23,455
tested,2020-03-24,430
tested,2020-03-25,291
tested,2020-03-26,489
tested,2020-03-27,281
tested,2020-03-28,429
tested,2020-03-29,441
tested,2020-03-30,490.5
tested,2020-03-31,456
tested,2020-04-01,605
tested,2020-04-02,653
tested,2020-04-03,679
tested,2020-04-04,692.5
tested,2020-04-05,566
tested,2020-04-06,668
tested,2020-04-07,903
tested,2020-04-08,1108
tested,2020-04-09,913
tested,2020-04-10,929
tested,2020-04-11,1016
tested,2020-04-12,1242
tested,2020-04-13,1007
tested,2020-04-14,1148
tested,2020-04-15,954
tested,2020-04-16,926
tested,2020-04-17,1109
tested,2020-04-18,980.5
tested,2020-04-19,1243
tested,2020-04-20,1121
tested,2020-04-21,1155
tested,2020-04-22,1263
tested,2020-04-23,1448
tested,2020-04-24,1395
tested,2020-04-25,1359
tested,2020-04-26,1480
tested,2020-04-27,1247
tested,2020-04-28,1107
tested,2020-04-29,1237.5
tested,2020-04-30,1654
tested,2020-05-01,1223
tested,2020-05-02,1478
tested,2020-05-03,1427
tested,2020-05-04,1721
tested,2020-05-05,1758
tested,2020-05-06,1705
tested,2020-05-07,915
tested,2020-05-08,584
tested,2020-05-09,629
tested,2020-05-10,1012
tested,2020-05-11,654
tested,2020-05-12,1178
tested,2020-05-13,1649
tested,2020-05-14,1891
tested,2020-05-15,1560
tested,2020-05-16,2013
tested,2020-05-17,1508
tested,2020-05-18,829
tested,2020-05-19,1559
tested,2020-05-20,2048.5
tested,2020-05-21,658
tested,2020-05-22,1147
tested,2020-05-23,1987
tested,2020-05-24,2568
tested,2020-05-25,2449
tested,2020-05-26,2555
tested,2020-05-27,2058
tested,2020-05-28,1699.5
tested,2020-05-29,2791
tested,2020-05-30,3245
tested,2020-05-31,3569
tested,2020-06-01,4085.5
tested,2020-06-02,4395.5
tested,2020-06-03,2861.5
tested,2020-06-04,1685
tested,2020-06-05,3251
tested,2020-06-06,4043
tested,2020-06-07,3963
tested,2020-06-08,2968.5
tested,2020-06-09,2876
tested,2020-06-10,3308
tested,2020-06-11,2452
tested,2020-06-12,2830
tested,2020-06-13,2059
tested,2020-06-14,2117
tested,2020-06-15,2213.5
tested,2020-06-16,3149
tested,2020-06-17,2162
tested,2020-06-18,2299
tested,2020-06-19,1900.5
tested,2020-06-20,861
tested,2020-06-21,1333
tested,2020-06-22,1634
tested,2020-06-23,1378
tested,2020-06-24,1808.5
tested,2020-06-25,1494.5
tested,2020-06-26,1525
tested,2020-06-27,1877
tested,2020-06-28,2204
