query,date,rank
home gym,2019-03-29,1000000
home gym,2019-03-30,1000000
home gym,2019-03-31,1000000
home gym,2019-04-01,1000000
home gym,2019-04-02,1000000
home gym,2019-04-03,1000000
home gym,2019-04-04,1000000
home gym,2019-04-05,1000000
home gym,2019-04-06,1000000
home gym,2019-04-07,1000000
home gym,2019-04-08,1000000
home gym,2019-04-09,1000000
home gym,2019-04-10,1000000
home gym,2019-04-11,1000000
home gym,2019-04-12,1000000
home gym,2019-04-13,1000000
home gym,2019-04-14,1000000
home gym,2019-04-15,1000000
home gym,2019-04-16,1000000
home gym,2019-04-17,1000000
home gym,2019-04-18,1000000
home gym,2019-04-19,1000000
home gym,2019-04-20,1000000
home gym,2019-04-21,1000000
home gym,2019-04-22,1000000
home gym,2019-04-23,1000000
home gym,2019-04-24,1000000
home gym,2019-04-25,1000000
home gym,2019-04-26,1000000
home gym,2019-04-27,1000000
home gym,2019-04-28,1000000
home gym,2019-04-29,1000000
home gym,2019-04-30,1000000
home gym,2019-05-01,548241.5
home gym,2019-05-02,590940.5
home gym,2019-05-03,1000000
home gym,2019-05-04,1000000
home gym,2019-05-05,1000000
home gym,2019-05-06,1000000
home gym,2019-05-07,1000000
home gym,2019-05-08,1000000
home gym,2019-05-09,1000000
home gym,2019-05-10,1000000
home gym,2019-05-11,1000000
home gym,2019-05-12,1000000
home gym,2019-05-13,845869.5
home gym,2019-05-14,1000000
home gym,2019-05-15,1000000
home gym,2019-05-16,1000000
home gym,2019-05-17,916924.5
home gym,2019-05-18,1000000
home gym,2019-05-19,1000000
home gym,2019-05-20,1000000
home gym,2019-05-21,1000000
home gym,2019-05-22,1000000
home gym,2019-05-23,1000000
home gym,2019-05-24,1000000
home gym,2019-05-25,1000000
home gym,2019-05-26,1000000
home gym,2019-05-27,1000000
home gym,2019-05-28,686477.5
home gym,2019-05-29,797914
home gym,2019-05-30,1000000
home gym,2019-05-31,1000000
home gym,2019-06-01,1000000
home gym,2019-06-02,1000000
home gym,2019-06-03,1000000
home gym,2019-06-04,1000000
home gym,2019-06-05,1000000
home gym,2019-06-06,915608.5
home gym,2019-06-07,1000000
home gym,2019-06-08,1000000
home gym,2019-06-09,1000000
home gym,2019-06-10,1000000
home gym,2019-06-11,1000000
home gym,2019-06-12,1000000
home gym,2019-06-13,1000000
home gym,2019-06-14,435459.5
home gym,2019-06-15,820773.5
home gym,2019-06-16,1000000
home gym,2019-06-17,1000000
home gym,2019-06-18,977423
home gym,2019-06-19,1000000
home gym,2019-06-20,1000000
home gym,2019-06-21,1000000
home gym,2019-06-22,1000000
home gym,2019-06-23,1000000
home gym,2019-06-24,216939.5
home gym,2019-06-25,834658.5
home gym,2019-06-26,1000000
home gym,2019-06-27,1000000
home gym,2019-06-28,1000000
home gym,2019-06-29,1000000
home gym,2019-06-30,1000000
home gym,2019-07-01,1000000
home gym,2019-07-02,1000000
home gym,2019-07-03,1000000
home gym,2019-07-04,1000000
home gym,2019-07-05,1000000
home gym,2019-07-06,914762
home gym,2019-07-07,842057.5
home gym,2019-07-08,1000000
home gym,2019-07-09,1000000
home gym,2019-07-10,1000000
home gym,2019-07-11,1000000
home gym,2019-07-12,1000000
home gym,2019-07-13,1000000
home gym,2019-07-14,559073
home gym,2019-07-15,1000000
home gym,2019-07-16,1000000
home gym,2019-07-17,1000000
home gym,2019-07-18,1000000
home gym,2019-07-19,1000000
home gym,2019-07-20,1000000
home gym,2019-07-21,1000000
home gym,2019-07-22,1000000
home gym,2019-07-23,1000000
home gym,2019-07-24,1000000
home gym,2019-07-25,1000000
home gym,2019-07-26,1000000
home gym,2019-07-27,1000000
home gym,2019-07-28,1000000
home gym,2019-07-29,1000000
home gym,2019-07-30,1000000
home gym,2019-07-31,1000000
home gym,2019-08-01,1000000
home gym,2019-08-02,1000000
home gym,2019-08-03,1000000
home gym,2019-08-04,1000000
home gym,2019-08-05,1000000
home gym,2019-08-06,859382
home gym,2019-08-07,854865
home gym,2019-08-08,749901.5
home gym,2019-08-09,1000000
home gym,2019-08-10,1000000
home gym,2019-08-11,1000000
home gym,2019-08-12,1000000
home gym,2019-08-13,1000000
home gym,2019-08-14,1000000
home gym,2019-08-15,1000000
home gym,2019-08-16,939067.5
home gym,2019-08-17,1000000
home gym,2019-08-18,1000000
home gym,2019-08-19,1000000
home gym,2019-08-20,961935.5
home gym,2019-08-21,1000000
home gym,2019-08-22,1000000
home gym,2019-08-23,1000000
home gym,2019-08-24,1000000
home gym,2019-08-25,1000000
home gym,2019-08-26,1000000
home gym,2019-08-27,1000000
home gym,2019-08-28,1000000
home gym,2019-08-29,1000000
home gym,2019-08-30,1000000
home gym,2019-08-31,1000000
home gym,2019-09-01,1000000
home gym,2019-09-02,1000000
home gym,2019-09-03,1000000
home gym,2019-09-04,1000000
home gym,2019-09-05,1000000
home gym,2019-09-06,1000000
home gym,2019-09-07,1000000
home gym,2019-09-08,1000000
home gym,2019-09-09,875209
home gym,2019-09-10,291737
home gym,2019-09-11,475469
home gym,2019-09-12,1000000
home gym,2019-09-13,820713.5
home gym,2019-09-14,808784
home gym,2019-09-15,781531
home gym,2019-09-16,1000000
home gym,2019-09-17,919771.5
home gym,2019-09-18,1000000
home gym,2019-09-19,1000000
home gym,2019-09-20,1000000
home gym,2019-09-21,977539.5
home gym,2019-09-22,956790.5
home gym,2019-09-23,1000000
home gym,2019-09-24,938744
home gym,2019-09-25,1000000
home gym,2019-09-26,1000000
home gym,2019-09-27,1000000
home gym,2019-09-28,1000000
home gym,2019-09-29,1000000
home gym,2019-09-30,1000000
home gym,2019-10-01,1000000
home gym,2019-10-02,1000000
home gym,2019-10-03,1000000
home gym,2019-10-04,1000000
home gym,2019-10-05,1000000
home gym,2019-10-06,1000000
home gym,2019-10-07,785330.5
home gym,2019-10-08,1000000
home gym,2019-10-09,1000000
home gym,2019-10-10,1000000
home gym,2019-10-11,1000000
home gym,2019-10-12,1000000
home gym,2019-10-13,1000000
home gym,2019-10-14,1000000
home gym,2019-10-15,1000000
home gym,2019-10-16,1000000
home gym,2019-10-17,1000000
home gym,2019-10-18,1000000
home gym,2019-10-19,1000000
home gym,2019-10-20,1000000
home gym,2019-10-21,807639
home gym,2019-10-22,1000000
home gym,2019-10-23,974715.5
home gym,2019-10-24,1000000
home gym,2019-10-25,1000000
home gym,2019-10-26,1000000
home gym,2019-10-27,854481.5
home gym,2019-10-28,1000000
home gym,2019-10-29,1000000
home gym,2019-10-30,1000000
home gym,2019-10-31,1000000
home gym,2019-11-01,1000000
home gym,2019-11-02,786763.5
home gym,2019-11-03,1000000
home gym,2019-11-04,1000000
home gym,2019-11-05,1000000
home gym,2019-11-06,1000000
home gym,2019-11-07,1000000
home gym,2019-11-08,1000000
home gym,2019-11-09,1000000
home gym,2019-11-10,1000000
home gym,2019-11-11,1000000
home gym,2019-11-12,1000000
home gym,2019-11-13,1000000
home gym,2019-11-14,1000000
home gym,2019-11-15,1000000
home gym,2019-11-16,1000000
home gym,2019-11-17,1000000
home gym,2019-11-18,1000000
home gym,2019-11-19,1000000
home gym,2019-11-20,1000000
home gym,2019-11-21,1000000
home gym,2019-11-22,1000000
home gym,2019-11-23,1000000
home gym,2019-11-24,1000000
home gym,2019-11-25,1000000
home gym,2019-11-26,1000000
home gym,2019-11-27,1000000
home gym,2019-11-28,1000000
home gym,2019-11-29,1000000
home gym,2019-11-30,1000000
home gym,2019-12-01,1000000
home gym,2019-12-02,1000000
home gym,2019-12-03,847075.5
home gym,2019-12-04,1000000
home gym,2019-12-05,1000000
home gym,2019-12-06,1000000
home gym,2019-12-07,1000000
home gym,2019-12-08,1000000
home gym,2019-12-09,1000000
home gym,2019-12-10,1000000
home gym,2019-12-11,1000000
home gym,2019-12-12,664389.5
home gym,2019-12-13,638926.5
home gym,2019-12-14,1000000
home gym,2019-12-15,1000000
home gym,2019-12-16,1000000
home gym,2019-12-17,1000000
home gym,2019-12-18,1000000
home gym,2019-12-19,1000000
home gym,2019-12-20,1000000
home gym,2019-12-21,1000000
home gym,2019-12-22,1000000
home gym,2019-12-23,1000000
home gym,2019-12-24,1000000
home gym,2019-12-25,892033.5
home gym,2019-12-26,1000000
home gym,2019-12-27,1000000
home gym,2019-12-28,1000000
home gym,2019-12-29,1000000
home gym,2019-12-30,1000000
home gym,2019-12-31,1000000
home gym,2020-01-01,829706
home gym,2020-01-02,1000000
home gym,2020-01-03,1000000
home gym,2020-01-04,1000000
home gym,2020-01-05,1000000
home gym,2020-01-06,1000000
home gym,2020-01-07,1000000
home gym,2020-01-08,1000000
home gym,2020-01-09,1000000
home gym,2020-01-10,496784.5
home gym,2020-01-11,554691.5
home gym,2020-01-12,1000000
home gym,2020-01-13,1000000
home gym,2020-01-14,1000000
home gym,2020-01-15,1000000
home gym,2020-01-16,735824
home gym,2020-01-17,630541.5
home gym,2020-01-18,1000000
home gym,2020-01-19,1000000
home gym,2020-01-20,1000000
home gym,2020-01-21,1000000
home gym,2020-01-22,1000000
home gym,2020-01-23,1000000
home gym,2020-01-24,1000000
home gym,2020-01-25,1000000
home gym,2020-01-26,716306
home gym,2020-01-27,1000000
home gym,2020-01-28,1000000
home gym,2020-01-29,1000000
home gym,2020-01-30,1000000
home gym,2020-01-31,1000000
home gym,2020-02-01,1000000
home gym,2020-02-02,1000000
home gym,2020-02-03,1000000
home gym,2020-02-04,434992
home gym,2020-02-05,746740
home gym,2020-02-06,1000000
home gym,2020-02-07,1000000
home gym,2020-02-08,1000000
home gym,2020-02-09,1000000
home gym,2020-02-10,1000000
home gym,2020-02-11,1000000
home gym,2020-02-12,1000000
home gym,2020-02-13,1000000
home gym,2020-02-14,1000000
home gym,2020-02-15,1000000
home gym,2020-02-16,846996
home gym,2020-02-17,779257.5
home gym,2020-02-18,1000000
home gym,2020-02-19,1000000
home gym,2020-02-20,989924.5
home gym,2020-02-21,915997
home gym,2020-02-22,821908.5
home gym,2020-02-23,1000000
home gym,2020-02-24,1000000
home gym,2020-02-25,1000000
home gym,2020-02-26,729097
home gym,2020-02-27,971026.5
home gym,2020-02-28,1000000
home gym,2020-02-29,492268
home gym,2020-03-01,620884
home gym,2020-03-02,983877.5
home gym,2020-03-03,970436
home gym,2020-03-04,1000000
home gym,2020-03-05,946983
home gym,2020-03-06,1000000
home gym,2020-03-07,1000000
home gym,2020-03-08,1000000
home gym,2020-03-09,1000000
home gym,2020-03-10,1000000
home gym,2020-03-11,788950
home gym,2020-03-12,389573
home gym,2020-03-13,413357.5
home gym,2020-03-14,292608
home gym,2020-03-15,294534.5
home gym,2020-03-16,84596
home gym,2020-03-17,75377.5
home gym,2020-03-18,66752.5
home gym,2020-03-19,69197
home gym,2020-03-20,115882
home gym,2020-03-21,110126
home gym,2020-03-22,132838
home gym,2020-03-23,126145.5
home gym,2020-03-24,118042.5
home gym,2020-03-25,142588.5
home gym,2020-03-26,149117
home gym,2020-03-27,127293.5
home gym,2020-03-28,158362
home gym,2020-03-29,172326.5
home gym,2020-03-30,139544.5
home gym,2020-03-31,138011
home gym,2020-04-01,148094
home gym,2020-04-02,144530.5
home gym,2020-04-03,189061.5
home gym,2020-04-04,218076.5
home gym,2020-04-05,260305.5
home gym,2020-04-06,187176
home gym,2020-04-07,217245.5
home gym,2020-04-08,204710.5
home gym,2020-04-09,175160
home gym,2020-04-10,207122
home gym,2020-04-11,280510.5
home gym,2020-04-12,155864
home gym,2020-04-13,201341
home gym,2020-04-14,225649
home gym,2020-04-15,199323
home gym,2020-04-16,173558
home gym,2020-04-17,113026
home gym,2020-04-18,293419
home gym,2020-04-19,244031
home gym,2020-04-20,288170
home gym,2020-04-21,317279.5
home gym,2020-04-22,367705
home gym,2020-04-23,1000000
home gym,2020-04-24,131365
home gym,2020-04-25,270739.5
home gym,2020-04-26,227352
home gym,2020-04-27,216458.5
home gym,2020-04-28,243412.5
home gym,2020-04-29,131708
home gym,2020-04-30,88615.5
home gym,2020-05-01,184251
home gym,2020-05-02,193601
home gym,2020-05-03,245028
home gym,2020-05-04,294519.5
home gym,2020-05-05,359009.5
home gym,2020-05-06,449804
home gym,2020-05-07,449010
home gym,2020-05-08,337862.5
home gym,2020-05-09,315077.5
home gym,2020-05-10,72058
home gym,2020-05-11,95175
home gym,2020-05-12,203717
home gym,2020-05-13,279886.5
home gym,2020-05-14,396003
home gym,2020-05-15,352006
home gym,2020-05-16,546193
home gym,2020-05-17,470551.5
home gym,2020-05-18,323961.5
home gym,2020-05-19,383721
home gym,2020-05-20,175689
home gym,2020-05-21,262831.5
home gym,2020-05-22,487753
home gym,2020-05-23,589084
home gym,2020-05-24,584190
home gym,2020-05-25,541127.5
home gym,2020-05-26,397319.5
home gym,2020-05-27,423216
home gym,2020-05-28,461311.5
home gym,2020-05-29,666970
home gym,2020-05-30,950616.5
home gym,2020-05-31,914164
home gym,2020-06-01,555967.5
home gym,2020-06-02,777611.5
home gym,2020-06-03,911941.5
home gym,2020-06-04,1000000
home gym,2020-06-05,778728
home gym,2020-06-06,934048.5
home gym,2020-06-07,841477
home gym,2020-06-08,721956.5
home gym,2020-06-09,409225
home gym,2020-06-10,596576.5
home gym,2020-06-11,172336.5
home gym,2020-06-12,432833.5
home gym,2020-06-13,647333
home gym,2020-06-14,762037
home gym,2020-06-15,557200
home gym,2020-06-16,619605.5
home gym,2020-06-17,788834
home gym,2020-06-18,582783.5
home gym,2020-06-19,590621.5
home gym,2020-06-20,491366.5
home gym,2020-06-21,903777.5
home gym,2020-06-22,701306
home gym,2020-06-23,809429.5
home gym,2020-06-24,827921
home gym,2020-06-25,654506
home gym,2020-06-26,762268.5
home gym,2020-06-27,618900.5
home gym,2020-06-28,693885
home gym,2020-06-29,468742
home gym,2020-06-30,492534.5
home gym,2020-07-01,704132
home gym,2020-07-02,809912.5
home gym,2020-07-03,537332.5
home gym,2020-07-04,890016.5
home gym,2020-07-05,807124
home gym,2020-07-06,591586.5
home gym,2020-07-07,736201.5
home gym,2020-07-08,824350.5
home gym,2020-07-09,493733
home gym,2020-07-10,531239.5
home gym,2020-07-11,715097
home gym,2020-07-12,599076
home gym,2020-07-13,395036.5
home gym,2020-07-14,463345
home gym,2020-07-15,519702.5
home gym,2020-07-16,520814
home gym,2020-07-17,412458
home gym,2020-07-18,656698.5
home gym,2020-07-19,662762.5
